Old URL,New Path
https://thrivethemes.com/docs/setting-a-display-priority-for-thrive-leads-forms/,https://thrivethemes.com/docs/how-to-use-lead-groups-complete-guide/
https://thrivethemes.com/docs/translating-the-error-messages-of-the-thrive-leads-forms/,https://thrivethemes.com/docs/how-to-translate-and-customize-form-messages/
https://thrivethemes.com/docs/display-settings-and-lead-group-rules-in-thrive-leads/,https://thrivethemes.com/docs/how-to-use-lead-groups-complete-guide/
https://thrivethemes.com/docs/differences-between-a-shortcode-and-lead-group-form/,https://thrivethemes.com/docs/how-to-get-started-with-thrive-leads/
https://thrivethemes.com/docs/using-the-content-locking-shortcode-in-thrive-leads/,https://thrivethemes.com/docs/how-to-use-thriveboxes-and-shortcode-forms/
https://thrivethemes.com/docs/using-the-thrive-leads-signup-segue-feature-and-one-click-signups/,https://thrivethemes.com/docs/how-to-manage-subscriber-visibility-in-thrive-leads/
https://thrivethemes.com/docs/hiding-an-opt-in-form-from-an-already-subscribed-user/,https://thrivethemes.com/docs/how-to-manage-subscriber-visibility-in-thrive-leads/
https://thrivethemes.com/docs/using-the-thrive-leads-smartlinks-feature/,https://thrivethemes.com/docs/how-to-manage-subscriber-visibility-in-thrive-leads/
https://thrivethemes.com/docs/setting-up-a-thrivebox-form-in-thrive-leads/,https://thrivethemes.com/docs/how-to-use-thriveboxes-and-shortcode-forms/
https://thrivethemes.com/docs/lead-groups-what-they-are-and-how-they-work/,https://thrivethemes.com/docs/how-to-use-lead-groups-complete-guide/
https://thrivethemes.com/docs/a-b-testing-forms-in-thrive-leads/,https://thrivethemes.com/docs/how-to-use-a-b-testing-in-thrive-leads-complete-guide/
https://thrivethemes.com/docs/choosing-a-winner-from-a-thrive-leads-form-test/,https://thrivethemes.com/docs/how-to-use-a-b-testing-in-thrive-leads-complete-guide/
https://thrivethemes.com/docs/testing-one-form-type-with-another-in-thrive-leads/,https://thrivethemes.com/docs/how-to-use-a-b-testing-in-thrive-leads-complete-guide/
https://thrivethemes.com/docs/ab-test-automatic-winner-settings-in-thrive-leads/,https://thrivethemes.com/docs/how-to-use-a-b-testing-in-thrive-leads-complete-guide/
https://thrivethemes.com/docs/creating-a-go-back-text-link-on-your-opt-in-form-states/,https://thrivethemes.com/docs/how-to-use-states-and-multi-step-forms-complete-guide/
https://thrivethemes.com/docs/creating-and-loading-a-thrive-leads-form-template/,https://thrivethemes.com/docs/how-to-create-and-use-form-templates/
https://thrivethemes.com/docs/adding-a-countdown-timer-to-a-thrive-leads-opt-in-form/,https://thrivethemes.com/docs/how-to-add-interactive-elements-to-your-opt-in-forms/
https://thrivethemes.com/docs/adding-a-progress-bar-to-a-thrive-leads-opt-in-form/,https://thrivethemes.com/docs/how-to-add-interactive-elements-to-your-opt-in-forms/
https://thrivethemes.com/docs/adding-a-typefocus-text-animation-to-an-opt-in-form/,https://thrivethemes.com/docs/how-to-add-interactive-elements-to-your-opt-in-forms/
https://thrivethemes.com/docs/using-states-on-your-thrive-leads-opt-in-forms/,https://thrivethemes.com/docs/how-to-use-states-and-multi-step-forms-complete-guide/
https://thrivethemes.com/docs/adding-css-hover-animation-to-opt-in-form-elements/,https://thrivethemes.com/docs/how-to-add-interactive-elements-to-your-opt-in-forms/
https://thrivethemes.com/docs/adding-a-close-button-to-an-opt-in-form-in-thrive-leads/,https://thrivethemes.com/docs/how-to-add-interactive-elements-to-your-opt-in-forms/
https://thrivethemes.com/docs/selectively-delivering-offers-and-adding-subscribers-to-email-list-based-on-user-consent-gdpr/,https://thrivethemes.com/docs/how-to-manage-gdpr-compliance-performance-and-troubleshooting/
https://thrivethemes.com/docs/getting-started-with-states-and-multi-step-forms-in-thrive-leads/,https://thrivethemes.com/docs/how-to-use-states-and-multi-step-forms-complete-guide/
https://thrivethemes.com/docs/animation-settings-in-thrive-leads-forms/,https://thrivethemes.com/docs/how-to-configure-display-settings-for-thrive-leads-forms/
https://thrivethemes.com/docs/managing-the-display-frequency-of-the-thrive-leads-forms/,https://thrivethemes.com/docs/how-to-configure-display-settings-for-thrive-leads-forms/
https://thrivethemes.com/docs/displaying-an-opt-in-form-on-click-in-thrive-leads/,https://thrivethemes.com/docs/how-to-use-triggers-in-thrive-leads/
https://thrivethemes.com/docs/understanding-the-triggers-in-thrive-leads/,https://thrivethemes.com/docs/how-to-use-triggers-in-thrive-leads/
https://thrivethemes.com/docs/configuring-the-display-settings-for-your-form-in-thrive-leads/,https://thrivethemes.com/docs/how-to-configure-display-settings-for-thrive-leads-forms/
https://thrivethemes.com/docs/using-different-versions-of-the-same-form-on-desktop-and-mobile/,https://thrivethemes.com/docs/how-to-configure-display-settings-for-thrive-leads-forms/
https://thrivethemes.com/docs/reduce-impact-of-thrive-leads-on-your-server-database/,https://thrivethemes.com/docs/how-to-manage-gdpr-compliance-performance-and-troubleshooting/
https://thrivethemes.com/docs/getting-started-with-the-thrive-leads-dashboard/,https://thrivethemes.com/docs/how-to-use-the-thrive-leads-dashboard/
https://thrivethemes.com/docs/ensuring-thrive-leads-compatibility-with-caching-plugins/,https://thrivethemes.com/docs/how-to-manage-gdpr-compliance-performance-and-troubleshooting/
https://thrivethemes.com/docs/understanding-impression-and-conversion-rate-data-in-thrive-leads/,https://thrivethemes.com/docs/how-to-use-the-thrive-leads-dashboard/
https://thrivethemes.com/docs/getting-started-with-thrive-leads/,https://thrivethemes.com/docs/how-to-get-started-with-thrive-leads/
https://thrivethemes.com/docs/building-and-displaying-your-first-thrive-leads-form/,https://thrivethemes.com/docs/how-to-build-and-display-your-first-form/
https://thrivethemes.com/docs/adding-an-autoresponder-code-to-your-form-in-thrive-leads/,https://thrivethemes.com/docs/how-to-connect-autoresponders-and-email-services-to-thrive-leads-forms/
https://thrivethemes.com/docs/adding-dynamic-data-to-your-autoresponder-code/,https://thrivethemes.com/docs/how-to-connect-autoresponders-and-email-services-to-thrive-leads-forms/
https://thrivethemes.com/docs/description-of-all-the-different-types-of-thrive-leads-forms/,https://thrivethemes.com/docs/how-to-get-started-with-thrive-leads/
